title,company,location,posted,workplace_model,employment_type,salary,job_description,jobId,url
Software Engineer Intern,Visa,Singapore,Posted 16 days ago,,Permanent,Competitive,"Company Description   Visa is a world leader in payments technology, facilitating transactions between consumers, merchants, financial institutions and government entities across more than 200 countries and territories, dedicated to uplifting everyone, everywhere by being the best way to pay and be paid.   At Visa, you'll have the opportunity to create impact at scale - tackling meaningful challenges, growing your skills and seeing your contributions impact lives around the world.   Join Visa and do work that matters - to you, to your community, and to the world. Progress starts with you.   Job Description   The Visa Internship Program is the biggest step you can take to joining our Revolution of Payments Innovation. During this intensive 12-week internship, you will work on challenging and rewarding assignments, gain exposure to Visa business leaders and executives, and participate in social and networking opportunities. From technology to business, we are looking for people who can innovate, collaborate, and drive Visa into the next era of an already rapidly-evolving digital market place. If you're up for the challenge, do consider joining us!   This is a hybrid position. Expectation of days in office will be confirmed by your Hiring Manager.   Qualifications   So, what are we looking for in a Software Engineering Intern?    We welcome applications from Singapore citizens and Singapore Permanent Residents. All candidates must have existing, and continuing, right to work in Singapore. Penultimate year undergraduate students graduating between December 2026 - May 2027 Able to work full-time for 12 weeks between May 2026 and August 2026. Pursuing a degree in Computer Science, Computing, Information Systems, or a related field    HTML, CSS, Responsive Design, Accessibility, Objective C, and/or Android SDK Training/knowledge about at least one programming language or technology (e.g. Java, C++, C, Python, JavaScript, React, SQL) is preferred Familiarity with software development methodology that is used to structure, plan, and control the process of software development Experience with user research and user centered design. Experience with usability (e.g., as a tester, analyst, or developer using user-centered data) Experience with accessibility (Section 508 and/or WCAG 2.0) a plus  Knowledge of user interface design as applied to Web-based applications and mobile devices. Experience of using GenAI to build software applications Knowledge of both Macs and PCs helpful Proficiency in MS Excel, Word and PowerPoint is required   The skills below will help us differentiate you with your peer group:   Strong ability to collaborate Highly motivated, resourceful and ability to work independently with initial guidance and direction Teamwork, interpersonal & relationship-building skills, and ability to lead by influence and example Project management skills and attention to detail Strong written and oral communication, including large-group presentations Proven ability to prioritize and manage multiple projects simultaneously   Additional Information   Visa is an EEO Employer. Qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, sexual orientation, gender identity, disability or protected veteran status. Visa will also consider for employment qualified applicants with criminal histories in a manner consistent with EEOC guidelines and applicable local law.",Job ID 744000101535206,https://www.efinancialcareers.sg/jobs-Singapore-Singapore-Software_Engineer_Intern.id23639983
Internship - Software Engineer,Virtu Financial,Singapore,Posted 2 days ago,,Internships & Graduate Trainee,Competitive,"Virtu is an industry-leading financial technology firm that operates both proprietary trading and client-facing businesses in the global financial marketplace. Our cutting edge, proprietary technology is core to everything we do. We trade in over 35 countries, across 235 financial exchanges and over 25% of retail order flow in the US. is serviced by Virtu.   Our team is a dedicated group of traders, quants and developers that are inspired by the unique and exciting challenges we solve every day. Our culture combines the creativity of a fast paced start up, with the stability of a disciplined financial services firm. We are a flat organization and encourage our people to innovate and lean on their teammates for support and collaboration. We have fun, work hard and strive to be virtuous in all we do.  Developer Internship (Singapore)    Virtu's internship program offers students an extraordinary opportunity to learn about the firm and the world's financial markets. We have built a thoughtful and challenging curriculum that introduces students to all aspects of Virtu's business through a company-curated global training week, real world development projects to complete and engaging social events to get to know our team and culture.   Location: Singapore Dates: 10 week program, starting June 8th 2026 - August 14th 2026 (with some flexibility if needed). Training: Ongoing training throughout the summer and a training week held in Singapore. Projects: Real problems to solve throughout the program. Interns will work from a list of projects and have several senior mentors throughout the summer program. Perks: Daily Breakfast, Lunch Allowance, Transport Allowance, Onsite Gym & Workout Classes, Massage Sessions, Social Events    Our development team is a highly talented group of versatile software engineers. These engineers are responsible for the design, development and optimization of our proprietary, low-latency trading systems as well as our propriety trading algorithms. This team also creates powerful trading tools, which facilitate all trading stages of our high-performance system which is deployed in financial marketplaces around the world.   As an intern, you will complete a variety of challenging development projects. You'll work alongside our senior team to improve scalability, performance and efficiency of our cutting edge trading systems. This is a rare opportunity for students to learn first hand how to design and architect a trading system for scale and to support the massive amounts of data that flow through Virtu's trading systems daily.   REQUIREMENTS   Rising juniors, or students expected to be ready for full time employment between December 2026 - June 2027 Excellent academic background in Computer Science, Electrical Engineering or related field Strong programming skills in Python and either Java or C++ Experience with Javascript a plus Some lower level programming experience a plus but not required Outstanding quantitative problem-solving skills and mathematical aptitude Being comfortable with a wide variety of projects (frontend/backend, different programming languages) A physicalizer; a person who identifies issues and creates solutions without rigid direction or fanfare Highly motivated and tenacious individual, with a proven ability to take initiative and work independently and within a team Team player: authentic, genuine person who is capable of working collective goals.    THE PROCESS   After applicants pass an initial resume screening, an online programming test will be emailed to you via Hackerrank. Upon review, we will reach out to arrange next steps. We are looking forward to meeting you!   Virtu Financial is an equal opportunity employer, committed to a diverse and inclusive workplace, welcoming you for who you are and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status.",Job ID 5513756002,https://www.efinancialcareers.sg/jobs-Singapore-Singapore-Internship_-_Software_Engineer.id23585948
"Software Engineer, Intern",Stripe,Singapore,Posted 2 days ago,,Internships & Graduate Trainee,Competitive,"Who we are  About Stripe   Stripe is a financial infrastructure platform for businesses. Millions of companies-from the world's largest enterprises to the most ambitious startups-use Stripe to accept payments, grow their revenue, and accelerate new business opportunities. Our mission is to increase the GDP of the internet, and we have a staggering amount of work ahead. That means you have an unprecedented opportunity to put the global economy within everyone's reach while doing the most important work of your career.  About the team   Our internship program will provide an opportunity to work on meaningful products that will grow the GDP of the internet. Through the internship, you will work with many systems and technologies, gain experience in systems design and testing, and have opportunities to present your work to your team and the wider org. Each intern has a dedicated intern manager, and every project is part of the team's roadmap and will directly help Stripe's mission.  What you'll do   Every internship at Stripe centers around a real, legitimate project that our customers urgently need, touching many parts of our operations and stack. We will support you in shipping it. Yes, you will actually ship it. Some recent projects include rebuilding our statistics aggregation service, building new service discovery systems, and many user facing projects like making it easy to understand error messages on Stripe Checkout. As a Stripe intern, you'll be tackling important projects to increase global commerce, while working alongside exceptional people who insist on doing their best work. You'll learn from people with high standards who are great at inspiring others to do more and go further. We value technical and personal growth, and see our internship program as a vehicle to foster both.  Responsibilities   Write software that will be used in production, and has meaningful impact to Stripe Give and receive technical feedback through code reviews or design discussions Collaborate with other engineers and cross-functional stakeholders to proactively seek and incorporate feedback Learn quickly by asking great questions, by working with your intern manager and teammates effectively, and by communicating the status of your work clearly  Who you are   We're looking for someone who meets the minimum requirements to be considered for the role. If you meet these requirements, you are encouraged to apply. The preferred qualifications are a bonus, not a requirement.  Minimum requirements   A strong fundamental understanding of computer science through pursuit of a Bachelor's, Master's, or PhD degree in computer science, math, or a related discipline Some experience and familiarity with programming, either through side projects or classwork. We work mostly in Java, Ruby, JavaScript, Scala, and Go. We believe new programming languages can be learned if the fundamentals and general knowledge are present Experience from previous internships or other multi-person projects, including open source contributions, that demonstrate evaluating and receiving feedback from mentors, peers, and stakeholders Ability to learn unfamiliar systems and form an understanding of those systems, through independent research and working with a mentor and subject matter experts  Preferred qualifications   At least 2 years of university education, or equivalent work experience One or more areas of specialized knowledge balanced with general skills and knowledge, such as knowing more frontend technologies and, at a high level, how a service handles an HTTP request Understanding and some experience writing high quality pull requests, with good test coverage, and working knowledge to complete projects with minimal defects Familiarity with navigating and managing your work in new code bases, with multiple languages Ability to write clearly to explain your work to stakeholders, team members, and other Stripes",Job ID 7206401,https://www.efinancialcareers.sg/jobs-Singapore-Singapore-Software_Engineer_Intern.id23588889
"Aon Graduate Programme 2026, Singapore -Innovation & Analytics, Application Developer",Aon Corporation,Singapore,NOT FOUND,,,,"Aon Graduate Programme 2026 - Innovation & Analytics, Application Developer    Aon is in the business of better decisions   At Aon, we shape decisions for the better to protect and enrich the lives of people around the world.   As an organization, we are united through trust as one inclusive team and we are passionate about helping our colleagues and clients succeed.   In this two year programme, you will be exposed to all aspects of our business through four job rotations (6-month cycle) across different business areas, participate in Agile scrum-based projects and have the opportunity to work with key stakeholders across the Aon business, gaining knowledge and insight into our world of data and analytics.   Graduates will be placed in various areas of the business and will have the opportunity to explore risk management and data analytics during the course of the programme   Application Developer What the day will look like  In the Application Developer role, you will collaborate with the brightest minds in our innovation center to build high-performing applications that deliver insightful analytics to our users.   Skills and experience that will lead to success    Fresh graduates who are able to commence full-time employment in July 2026.  You should be familiar with one or more of the following languages C#, JavaScript, Python. Knowledge in SQL, CSS, ReactJS, Angular would be advantageous.  Strong data literacy skills with the ability to identify key insights from your analysis.  Visual design focus to maximise user experience and impact.  Ability to integrate AI models into web applications to enhance data analytics and user experience.  Excellent problem-solving skills and attention to detail.  Self-motivated, enthusiastic individual with excellent interpersonal skills and a team-player.  Ability to convey technical findings to non-technical audience in an engaging and easy way.  Ability to think deeply about ethical consequences of their work.   #Aon #AonUnited #AonAsia #AonGradsAsia #AonEarlyCareersAsia #LifeAtAon   2025-95372",Job ID 95372,https://www.efinancialcareers.sg/jobs-Singapore-Singapore-Aon_Graduate_Programme_2026_Singapore_-Innovation__Analytics_Application_Developer.id23553074
Internship - Environmental Health and Safety,The ERM International Group Limited,Singapore,NOT FOUND,,,,"ERM Singapore is looking for Interns who are inquisitive, inspired, and keen to challenge the status quo to address the sustainability challenges facing businesses around the world. If you are looking to work in a company that is leading the change, this is the right place for you!   ERM is in ""the business of sustainability"" - enabling global sustainability through business consulting. We offer a career path and training that supports both your technical and consulting development. Our clients operate in complex sectors such as Oil & Gas, Mining, Chemicals, Power and Technology, Manufacturing and Construction amongst many others and many faces challenging issues such as sustainability and climate change, managing environmental and social impacts, human rights and increasingly how to digitize their EHS data to drive more robust business decision making.   If you are motivated and up for the challenge, we have vacancies in our Singapore office. Apply to us now!   An internship at ERM will provide you with:   A company with core values that include Accountability, Caring for our People, Client Focus, Collaboration, Empowerment, and Transparency. An entrepreneurial and performance driven culture; allowing you the ability to craft your future career. Immediate opportunities to work on large, complex, long-term projects which make impacts at the local, national and global levels. Engagement with a strong global technical network enabling you to work and learn alongside leading industry professionals. A company with a solid reputation and strong client focus, working with clients in emerging and established markets creating sustainable plans to deliver growth.   Responsibilities:   Working on research projects or relevant to any of the following specialist practices area:   1. Environmental Impact Assessments (EIA) - Social Impact Assessments Contaminated Site Management / Remediation Performance & Assurance (Performance Interventions / EHS Training / Safety Transformation Projects)   Management Systems and Compliance Support - including performance based assessment and compliance assurance EHS Audit - Performance Based Auditing including compliance audit and audit program development Sustainability Reporting - including development of sustainability reports and provision of data assurance Transactional Services (Mergers & Acquisition - Environmental Aspects)   2. Process Safety & Risk   Extend support to consultant/ project sponsors pertaining to Process Safety & Risk Project/Proposal technically and administratively Depending on availability and the resource requirement, the intern may be involved in project site visit under supervision of the project consultant Consequence modelling using software Exposure to technical environmental/sustainability or related engineering Independent research Assisting in maintaining management system of the company Reporting   Job Requirements:   An under-graduate in Environmental Science, Environmental Engineering, Chemical/ Petroleum Engineering, Civil Engineering, Marine Biology, Ecology, Socioeconomics, Anthropology, Forestry, or equivalent (Air, Noise etc) from a reputable university. Exceptional verbal and written communication skills A proven ability to multi-task; Exceptional organizational skills; A ""can do"" attitude Ability to use Microsoft applications (e.g. Word, Excel, PowerPoint); Strong report writing skills; Ability to take direction and to work as part of multi-disciplinary teams; Solid oral communication skills (including the ability to deliver presentations); and Excellent analytical and math skills   Internship Period: 3-6 months from September onwards.   Who  We Are:   As the world's leading sustainability consulting firm, ERM is uniquely positioned to contribute to the environment and society through the expertise and energy of our employees worldwide. Sustainability is what we do, and is at the heart of both our service offerings and how we operate our business. ERM and our partners are driven by a dynamic vision: By 2021 we will be the clear leader in our chosen markets, we will double in value and we will deliver on our promises to our clients, our people and our investors. For our people, our vision means attracting, inspiring, developing and rewarding our people to work with the best clients and on the biggest challenges, thus creating valuable careers. We achieve our vision in a sustainable manner by maintaining and living our ERM values that include Accountability, Caring for our People, Client Focus, Collaboration, Empowerment, and Transparency.   ERM does not accept recruiting agency resumes. Please do not forward resumes to our jobs alias, ERM employees or any other company location. ERM is not responsible for any fees related to unsolicited resumes.   ERM is proud to be an Equal Employment Opportunity employer. We do not discriminate based upon race, religion, color, national origin, gender, sexual orientation, gender identity, age, marital status or disability status.   Thank you for your interest in ERM!",Job ID R00024360,https://www.efinancialcareers.sg/jobs-Singapore-Singapore-Internship_-_Environmental_Health_and_Safety.id23600241
Internship - Quantitative Trading,Virtu Financial,Singapore,Posted 2 days ago,,Internships & Graduate Trainee,Competitive,"Virtu is an industry-leading financial technology firm that operates both proprietary trading and client-facing businesses in the global financial marketplace. Our cutting edge, proprietary technology is core to everything we do. We trade in over 35 countries, across 235 financial exchanges and over 25% of retail order flow in the US. is serviced by Virtu   Our team is a dedicated group of traders, quants and developers that are inspired by the unique and exciting challenges we solve every day. Our culture combines the creativity of a fast paced start up, with the stability of a disciplined financial services firm. We are a flat organization and encourage our people to innovate and lean on their teammates for support and collaboration. We have fun, work hard and strive to be virtuous in all we do.   Quantitative Trading Internship (Singapore)   Virtu's internship program offers students an extraordinary opportunity to learn about the firm and the world's financial markets. We have built a thoughtful and challenging curriculum that introduces students to all aspects of Virtu's business through a company-curated global training week, real world trading problems to solve and engaging social events to get to know our team and culture.   Location: Singapore Dates: 10 week program, starting June 8th 2026 - August 14th 2026 (with some flexibility if needed). Training: Ongoing training throughout the summer and a training week held in Singapore. Projects: Real problems to solve throughout the program. Interns will work from a list of projects and have several senior mentors throughout the summer program. Perks: Daily Breakfast, Lunch Allowance, Transport Allowance, Onsite Gym & Workout Classes, Massage Sessions, Social Events   Our Quantitative Traders are responsible for the design, operation, and improvement of high-performance algorithmic trading strategies deployed on electronic trading venues around the world. They work closely with our quants and software engineers to enhance and further develop the firm's trading strategies. Quantitative Traders become experts in Virtu's trading technology and its interaction with the market.   As a Quantitative Trading Intern, you'll work alongside Virtu's senior traders on a variety of exciting and challenging projects that introduce you to all the intricacies of market making. We've designed the internship to be very hands-on; interns will spend most of their time solving trading problems as they occur in the markets and working from a menu of projects with the team. Projects can come from a variety of different trading desks such as Foreign Exchange, Fixed Income, Options, ETF's, Energy and more. This is a great opportunity for the right candidate to kick start a career in the financial technology space.   REQUIREMENTS   Virtu is looking for top performers. Whether you're a coding whiz or a master of Shakespeare, we would like to meet you!   Rising juniors, or students expected to be ready for full time employment between December 2026 - June 2027 Excellent academic background (all majors welcome) Outstanding quantitative problem-solving skills and mathematical aptitude Some programming experience is required (Python, SQL, Java or C++ are a plus) A physicalizer; a person who identifies issues and creates solutions without rigid direction or fanfare Highly motivated and tenacious individual, with a proven ability to take initiative and work independently and within a team Team player: authentic, genuine person who is capable of working collective goals   THE PROCESS   After applicants pass an initial resume screening, an online programming test will be emailed to you via Hackerrank. Upon review, we will reach out to arrange next steps. We are looking forward to meeting you!   Virtu Financial is an equal opportunity employer, committed to a diverse and inclusive workplace, welcoming you for who you are and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status.",Job ID 5208637002,https://www.efinancialcareers.sg/jobs-Singapore-Singapore-Internship_-_Quantitative_Trading.id23485242
Graduate Analyst (2026),Cognizant,Singapore,NOT FOUND,,,,"When you join Cognizant, you will be surrounded by other graduates assigned to different businesses, each with their own unique skills and abilities. Cognizant's culture is highly collaborative, so there is great potential for working together on cross-functional or cross-business projects.  The program equips you with essential knowledge and niche skills sought by industry leaders, so you can create value for our clients. Your training will include soft skills like client relationship management and applicable technical skills such as software testing and quality management.  There are also numerous events, activities and projects which will introduce you to more of your Cognizant colleagues for opportunities to share, learn and grow with each other and give back to the community together. Ultimately, look forward to being part of client engagement projects, where you will have the support of senior leaders and experienced associates to be a partner to our clients through the digital transformation.  Cognizant Digital Engineering is looking for Graduate Analyst with experience in working with both backend and frontend languages. You'll be working closely with our senior team members to help goals get completed on time. The graduate talent will embark on an 12-month graduate program to ensure that our associate is developed holistically.   Job Description:  Responsible for designing solutions, writing code, tests cases, executing test cases, automating build, test and deployment, environment provisioning and configuration Full-stack development with technology using front-end JavaScript libraries, backend server languages, and database construction Implementing both front-end and back-end applications. Design, develop, test, deploy, maintain, and improve software across the stack Develop automated tests and deliver high-quality code to production within estimated development timelines Collaborate and actively contribute in discussions to help define technology and development approach within the team  A Candidate Who Will Excel  Diploma / bachelor's degree in computer science, analytics, mathematics, engineering, business or similar disciplines Experience and knowledge in core java will be advantageous Good understanding of software development, implementation lifecycle and hands-on programming experience would be advantageous Passionate about digital world, designing and building for the people who work or live in it Thrive in a dynamic environment and project based working environment Positive attitude and eager to make a difference Attention to detail and personal pride in your work",Job ID 46477,https://www.efinancialcareers.sg/jobs-Singapore-Singapore-Graduate_Analyst_2026.id23203530
"Software Developer, C++ | Singapore- Sophisticated Prop Trading Firm",Oxford Knight,Singapore,Posted 5 days ago,,Permanent,up to 200k base + bonus,"Salary: up to 200k base + bonus   Summary  High-frequency prop trading firm with offices worldwide looking for an outstanding C++ Software Developer to join one of their in-house trading teams as they design a low-latency, high throughput trading and research system.  Enjoying high levels of autonomy, in this role you will use clean, efficient code to design and develop various components for the high frequency trading platform, collecting quotes and trades from exchanges around the world. You'll also contribute to the development and optimization of large-scale parallel computation problems, and improve performance by optimizing efficiency of machine learning-based algorithms.  The ideal candidate will be comfortable managing multiple tasks to completion in a fast-paced environment and have highly analytical problem-solving abilities.   Requirements   5+ years of practical experience in C++ and 3 years with Python Strong proficiency with data structures, algorithms, and OOP Sound experience using other programming languages, e.g. Java Solid working knowledge of Linux and SQL Self-starter, with a passion for innovation and building systems from scratch   NB: Please don't apply if you are a fresh graduate.   Benefits   Competitive salary + performance-based bonuses Generous benefits, including medical insurance and gym membership Collaborative and friendly environment with smart, highly engaged colleagues Relaxed, dress-down office culture, with breakfast, lunch and snacks provided   Whilst we carefully review all applications, to all jobs, due to the high volume of applications we receive it is not possible to respond to those who have not been successful.   Contact  If this sounds like you or you would like to know more, please get in touch:   Andy Stirling-Martin  andy@oxfordknight.co.uk  +44 (0)20 3137 9579  linkedin.com/in/andrew-stirling-martin-7664a946",Job ID KCkNpDZV2j9V,https://www.efinancialcareers.sg/jobs-Singapore-Singapore-Software_Developer_C__Singapore-_Sophisticated_Prop_Trading_Firm.id23261293
Lead / Senior Software Developer - Mainapp Platform Team,Crypto.com,Singapore,Posted 3 days ago,,Permanent,Competitive,"We are a team to design, develop, maintain, and improve software for various ventures projects, i.e., projects that are adjacent to our core businesses and are bootstrapped fast with a lean team. You will be actively involved in the design of various components behind scalable applications, from frontend UI to backend infrastructure.   Be part of the cross-functional Main App team to deliver a system which can serve 100 million active users from around the world. Lead / Senior Software Developer are empowered to design and implement both technical and non-technical solutions in order to support internal users and external customers.   Role & Responsibilities    Involve in the Platform Team to project development  Take full ownership of product from planning to delivery  Collaborate closely with cross-functional teams (different developer from Backend, Frontend, QA) Drive continuous improvement in development processes, tools and testing Encourage innovation on RAG application, Workflow Automation (e.g. n8n) or any tools to boost team productivity Continuously evaluate existing workflows and recommend improvements Not satisfied with ""good enough"" - always look for ways to optimize processes, code quality, and team efficiency Proactively identify bottlenecks and propose better solutions Support existing applications as well as fixing bugs and responding to customer issues Establish the root causes of application errors, and properly escalate serious concerns to the appropriate internal engineers Architecture / platform / tooling / devops improvement for the code bases and within the team    Requirements    2-8 years experience in server-side programming languages is required 2+ years experience in Ruby on Rails or similar web MVC framework Good communication skills talking to both technical and non-technical teammates Embrace open source community and willing to give back for everyone's good Capable to pick up various technologies, a fast learner and have a ""get things done"" mentality Humble to embrace better ideas from others, eager to make things better, open to challenges and possibilities Work independently and be accountable Capable to work under pressure Aggressive in learning and self-improvement Willing to take criticism and also provide honourable feedback to others Willing to drive changes, to both yourself and your teammates    Advantage    Knowledge of handling scalability, security and performance Knowledge of domain driven microservices architecture backend development Knowledge of zero downtime CI/CD and development principles Knowledge of DevOps process and tools Knowledge on AWS products, resources and resilience setup Knowledge on system networking Knowledge on third party monitoring platforms (e.g. Datadog, AWS Cloudwatch) Knowledge on Go    #LI-SF1   #LI-MidSenior   #LI-Hybrid   Life @ Crypto.com   Empowered to think big. Try new opportunities while working with a talented, ambitious and supportive team.   Transformational and proactive working environment. Empower employees to find thoughtful and innovative solutions.   Growth from within. We help to develop new skill-sets that would impact the shaping of your personal and professional growth.   Work Culture. Our colleagues are some of the best in the industry; we are all here to help and support one another.   One cohesive team. Engage stakeholders to achieve our ultimate goal - Cryptocurrency in every wallet.   Work Flexibility Adoption. Flexi-work hour and hybrid or remote set-up   Aspire career alternatives through us - our internal mobility program offers employees a new scope.   Work Perks: crypto.com visa card provided upon joining   Are you ready to kickstart your future with us?   Benefits   Competitive salary   Attractive annual leave entitlement including: birthday, work anniversary   Work Flexibility Adoption. Flexi-work hour and hybrid or remote set-up   Aspire career alternatives through us. Our internal mobility program can offer employees a diverse scope.   Work Perks: crypto.com visa card provided upon joining   Our Crypto.com benefits packages vary depending on region requirements, you can learn more from our talent acquisition team.   About Crypto.com:   Founded in 2016, Crypto.com serves more than 150 million customers and is the world's fastest growing global cryptocurrency platform. Our vision is simple: Cryptocurrency in Every Wallet™. Built on a foundation of security, privacy, and compliance, Crypto.com is committed to accelerating the adoption of cryptocurrency through innovation and empowering the next generation of builders, creators, and entrepreneurs to develop a fairer and more equitable digital ecosystem.   Learn more at https://crypto.com.   Crypto.com is an equal opportunities employer and we are committed to creating an environment where opportunities are presented to everyone in a fair and transparent way. Crypto.com values diversity and inclusion, seeking candidates with a variety of backgrounds, perspectives, and skills that complement and strengthen our team.   Personal data provided by applicants will be used for recruitment purposes only.   Please note that only shortlisted candidates will be contacted.   We may use artificial intelligence tools to analyze the content of your Resume/CV against the specific requirements for the position. The purpose is to support our recruitment team in reviewing applications more effectively. These tools assist our recruitment team in their evaluation of your application by providing recommendations, but they do not replace human judgment. Final hiring decisions are ultimately made by humans who consider the insights generated by the tools along with other relevant information. If you would like more details about how your personal information is processed, please contact us.",Job ID ydT00VLsBgvb,https://www.efinancialcareers.sg/jobs-Singapore-Singapore-Lead__Senior_Software_Developer_-_Mainapp_Platform_Team.id23688418
Senior Software Developer (React Native) - Innovation,Crypto.com,Singapore,Posted 2 days ago,,Permanent,Competitive,"We are a team to design, develop, maintain, and improve software for various ventures projects, i.e., projects that are adjacent to our core businesses and are bootstrapped fast with a lean team. You will be actively involved in the design of various components behind scalable applications, from frontend UI to backend infrastructure.   Responsibilities    Design, develop, and maintain robust mobile applications using React Native. Implement and integrate RESTful APIs and Websockets for real-time data exchange. Collaborate with cross-functional teams to define, design, and deliver new features. Understand and optimize the bridge between React Native and native modules (iOS/Android). Ensure high performance, quality, and responsiveness of applications. Write clean, maintainable code following best practices. Use Git for version control and participate in code reviews. Develop, maintain, and execute unit and end-to-end (e2e) test cases. Debug and fix issues, optimize app performance, and continuously improve app usability.    Requirements    Minimum 3 years of experience developing mobile applications using React Native. Proficient in JavaScript/TypeScript and React. Strong understanding of RESTful API integration and WebSocket communication. Experience bridging React Native with native code or modules. Familiarity with version control systems, particularly Git. Knowledge of unit testing (e.g., Jest) and end-to-end testing (e.g., Detox). Ability to solve complex problems and communicate technical information clearly. A focus on producing high-quality code and exceptional user experiences Good to Have  Experience in native iOS (Swift/Objective-C) and/or Android (Java/Kotlin) development. Understanding of mobile app release procedures in App Store and Google Play. Familiarity with modern architecture patterns and state management (e.g., Redux). Experience with AI code generation tools. (e.g. Amazon Q Developer, github copilot cursor.com, aider)    Life @ Crypto.com   Empowered to think big. Try new opportunities while working with a talented, ambitious and supportive team.   Transformational and proactive working environment. Empower employees to find thoughtful and innovative solutions.   Growth from within. We help to develop new skill-sets that would impact the shaping of your personal and professional growth.   Work Culture. Our colleagues are some of the best in the industry; we are all here to help and support one another.   One cohesive team. Engage stakeholders to achieve our ultimate goal - Cryptocurrency in every wallet.   Work Flexibility Adoption. Flexi-work hour and hybrid or remote set-up   Aspire career alternatives through us - our internal mobility program offers employees a new scope.   Work Perks: crypto.com visa card provided upon joining   Are you ready to kickstart your future with us?   Benefits   Competitive salary   Attractive annual leave entitlement including: birthday, work anniversary   Work Flexibility Adoption. Flexi-work hour and hybrid or remote set-up   Aspire career alternatives through us. Our internal mobility program can offer employees a diverse scope.   Work Perks: crypto.com visa card provided upon joining   Our Crypto.com benefits packages vary depending on region requirements, you can learn more from our talent acquisition team.   About Crypto.com:   Founded in 2016, Crypto.com serves more than 150 million customers and is the world's fastest growing global cryptocurrency platform. Our vision is simple: Cryptocurrency in Every Wallet™. Built on a foundation of security, privacy, and compliance, Crypto.com is committed to accelerating the adoption of cryptocurrency through innovation and empowering the next generation of builders, creators, and entrepreneurs to develop a fairer and more equitable digital ecosystem.   Learn more at https://crypto.com.   Crypto.com is an equal opportunities employer and we are committed to creating an environment where opportunities are presented to everyone in a fair and transparent way. Crypto.com values diversity and inclusion, seeking candidates with a variety of backgrounds, perspectives, and skills that complement and strengthen our team.   Personal data provided by applicants will be used for recruitment purposes only.   Please note that only shortlisted candidates will be contacted.   We may use artificial intelligence tools to analyze the content of your Resume/CV against the specific requirements for the position. The purpose is to support our recruitment team in reviewing applications more effectively. These tools assist our recruitment team in their evaluation of your application by providing recommendations, but they do not replace human judgment. Final hiring decisions are ultimately made by humans who consider the insights generated by the tools along with other relevant information. If you would like more details about how your personal information is processed, please contact us.",Job ID PFVUP8bDKknk,https://www.efinancialcareers.sg/jobs-Singapore-Singapore-Senior_Software_Developer_React_Native_-_Innovation.id23691508
