title,company,location,job_type,posted,category,review,number_of_review,salary,description,url
Software Engineer Intern (Summer 2026),Plaud,Singapore,Full time,Posted 6d ago,Engineering - Software (Information & Communication Technology),NOT FOUND,NOT FOUND,NOT FOUND,"About Plaud Inc. Plaud is building the world's most trusted AI work companion for professionals to elevate productivity and performance through note-taking solutions, loved by over 1,500,000 users worldwide since 2023. With a mission to amplify human intelligence, Plaud is building the next-generation intelligence infrastructure and interfaces to capture, extract, and utilize what you say, hear, see, and think. Plaud Inc. is a Delaware-incorporated, San Francisco-based company pushing the boundary of human–AI intelligence through a hardware–software combination. With ISO 27001, ISO 27701, GDPR, SOC 2, HIPAA, and EN 18031 compliance, Plaud is committed to the highest standards of data security and privacy protection. To learn more about Plaud, please visit https://www.plaud.ai and follow along on Instagram, X, Facebook, LinkedIn, and YouTube Why You Should Join Us Plaud is building the next generation intelligence infrastructure and interfaces to capture, extract, and utilize intelligence from what people say, hear, see, and think. Plaud is a bootstrapped, skyrocketing, profitable company with a $250M revenue run rate achieved in just three years. Define the next-gen paradigm for human-AI interaction. Gain exposure to cutting-edge AI for Pro tools and play a direct role in our global expansion. Work with passionate teammates who value innovation, collaboration, and customer success. Grow your career in a culture that champions continuous learning and fast career development. Market-competitive compensation, global exposure, and a vibrant, creativity-fueled work atmosphere. What you will do 3 to 6 months internship program (commit at least 3 days per week) Work on production-level systems that directly impact real users Design, build, test, and deploy features across the stack (frontend, backend, or infrastructure depending on your strengths) Collaborate closely with product managers and designers to turn requirements into scalable solutions Write clean, maintainable, and well-tested code Participate in code reviews and technical discussions with senior engineers What We’re Looking For Strong foundation in computer science fundamentals (data structures, algorithms, systems) Proficiency in at least one programming language (e.g. Python, JavaScript/TypeScript, Java, Go, or C++) Familiarity with web development, APIs, or distributed systems is a plus Ability to learn fast, ask good questions, and take ownership Comfortable working in a fast-moving, ambiguous environment What You’ll Gain Hands-on experience building real-world, high-impact systems Mentorship from experienced engineers Exposure to modern engineering practices and architecture Opportunity for return offer / full-time conversion (subject to performance)",https://sg.jobstreet.com/job/89723398?type=standard&ref=search-standalone&origin=cardTitle#sol=bded58d84f2f05b41fcd5a3c4b59daefae890a93
Front-End Development Internship,Nested Technologies,"Kampong Ubi, Central Region",Full time,Posted 4d ago,Engineering - Software (Information & Communication Technology),NOT FOUND,NOT FOUND,NOT FOUND,"Company Nested Technologies Pte. Ltd. nested.ai Designation Front-End Development Internship Date Listed 20 Nov 2025 Job Type Entry Level / Junior Executive, Experienced / Senior Executive Intern/TS Job Period Flexible Start, For At Least 3 Months Profession IT / Information Technology Industry Computer and IT Location Name 65 Ubi Road 1, Singapore Address 65 Ubi Rd 1, Singapore 408729 Map Allowance / Remuneration $800 - 1,200 monthly Company Profile Founded in 2020, Nested Technologies is a forward-thinking company specialising in artificial intelligence and machine learning. We develop solutions across sectors like data scraping, quantity surveying, acoustics, and finance. Our work focuses on solving practical problems with technology that is intuitive and accessible. From specialised industry tools to broader applications, we aim to create intelligent solutions that make a meaningful impact for users, whether businesses or individuals. Job Description Students will be involved in the front end development for web application, including web design and organisation, user experience, etc. The front-end developers will work closely with the Director, back end developers and designer throughout the projects. Determining the structure and design of web pages Ensuring user experience determines design choices Building code based on modularity and scalability Optimising web pages for speed and scalability Carrying out web application tests for feature development and user experience Technical Skills (Preferred) HTML CSS, Bootstrap, Javascript, React, React Native (Optional) AWS, Python, Elementor, Django, SQLite, PostgreSQL Application Instructions Please apply for this position by submitting your text CV using InternSG. Kindly note that only shortlisted candidates will be notified. Apply for this position",https://sg.jobstreet.com/job/89757364?type=standard&ref=search-standalone&origin=cardTitle#sol=0b802c81cd717875c59269316a3a617a4110a651
Full Stack Engineer Intern,"Asurion, LLC",Singapore,Full time,Posted 2d ago,Developers/Programmers (Information & Communication Technology),NOT FOUND,NOT FOUND,NOT FOUND,"Are you looking for some real-world experience as an intern for 3-6 months? Do you want to have exposure to a fast paced, global company and learn from the best? At Asurion, our teams work collaboratively to innovate and serve customers while ensuring employees succeed and feel valued. If you love building amazing user centric web apps, rapid prototyping, collaborating with researchers and technology experts and create new product ideas, join us as an Intern! Visit https://www.asurion.com.sg/ to know more Who is the Full Stack Engineer Intern? Currently pursuing a bachelor's in computer science with Software Development specialization in a recognized university in Singapore, as a Full Stack Engineer Intern at Asurion you will have access to unparalleled enterprise resources to grow and develop both personally and professionally. We will give you opportunities to collaborate with technology, product and business experts who understand user behaviors and real-world use cases. You will effectively contribute independently and as part of a team and will stay up to date on emerging web development technologies. As a Full Stack Engineer Intern, here's what you can expect to do: • Explore and help choose appropriate frameworks and translate UI/UX design wireframes to actual code that will produce visual elements of the application • Build Gen AI-based web applications for multiple domains like customer solutions, supply chain, and finance • Build scalable full-stack applications using cloud platforms like AWS • Conduct thorough testing of user interfaces to ensure all designs render correctly and systems function properly, incorporating feedback from actual potential users as well as members of the design team • While contributing independently, collaborate with others to complete a task Learning Outcomes: • Strong understanding of front-end development frameworks and design libraries like React JS, Typescript, Redux, Next JS, Django, Tailwind CSS, Material IO, Material UI, Python, FastAPI • Build seamless web applications using cutting-edge technologies to achieve mobile-based interface features • Exposure to enterprise cloud platfirms like AWS, Google Cloud, Econfluence, Figma • Intermediate understanding of prompt engineering and its principles How we can take care of you: • Join a non-hierarchical, fast paced, and inclusive team - we foster a work culture where employees are valued, regardless of their background, level or position. • Be a part of something bigger - we are constantly evolving within a startup framework, cultivated, and supported by the backing of a large global organization. • Connect with the local team through team building, town halls and group training • Give back to the community through the partnership with our local charity partners",https://sg.jobstreet.com/job/89816035?type=standard&ref=search-standalone&origin=cardTitle#sol=3086231f28fe66d635f29212b3bfc053d8e2a606
Software Testing Intern (Manual),Razer Inc.,Singapore,Full time,Posted 6d ago,Testing & Quality Assurance (Information & Communication Technology),3.1,9 reviews,NOT FOUND,"Joining Razer will place you on a global mission to revolutionize the way the world games. Razer is a place to do great work, offering you the opportunity to make an impact globally while working across a global team located across 5 continents. Razer is also a great place to work, providing you the unique, gamer-centric #LifeAtRazer experience that will put you in an accelerated growth, both personally and professionally. Job Responsibilities :We are looking for a motivated Software Testing Intern (Manual)! As a Software Testing Intern (Manual), you will be responsible for creating/executing test cases, as well as ensuring the quality of our software.Responsibilities: * Analyzing and monitoring the performance of Razer's product and software * Developing and executing test cases * Making sure our software works with our hardwares * Help maintain the quality of Razer's products * Working closely with the product, UI/UX, and development teams You will be exposed to: * Manual, and Performance testing * Software tools like Jira, and Confluence * First hand-on experience to Razer's devices * Virtual Hardware Software for User Interface testing * MS Office tools like Word, and Excel * Operating Systems like Windows and MAC Qualifications: * Diploma/Undergraduate studies focusing on Information Technology, Computer Science, or any related field * Excellent verbal and written communication skills * Strong problem-solving skills * Highly developed attention to detail * Creative, passionate, and innovative mindset with the ability to work independently * Proactive, motivated, and a team player * Manual testing experience is a plus * Able to commit for a minimum of 6 months for optimal learning exposure Pre-Requisites :Razer is proud to be an Equal Opportunity Employer. We believe that diverse teams drive better ideas, better products, and a stronger culture. We are committed to providing an inclusive, respectful, and fair workplace for every employee across all the countries we operate in. We do not discriminate on the basis of race, ethnicity, colour, nationality, ancestry, religion, age, sex, sexual orientation, gender identity or expression, disability, marital status, or any other characteristic protected under local laws. Where needed, we provide reasonable accommodations - including for disability or religious practices - to ensure every team member can perform and contribute at their best. Are you game?",https://sg.jobstreet.com/job/89740583?type=standard&ref=search-standalone&origin=cardTitle#sol=f7dcefaefea70d2116b9cb0dedb840b309f93e2d
Software Engineer Intern,PayPal,Singapore (Hybrid),Full time,Posted 2d ago,Engineering - Software (Information & Communication Technology),4.0,6 reviews,NOT FOUND,"The Company PayPal has been revolutionizing commerce globally for more than 25 years. Creating innovative experiences that make moving money, selling, and shopping simple, personalized, and secure, PayPal empowers consumers and businesses in approximately 200 markets to join and thrive in the global economy. We operate a global, two-sided network at scale that connects hundreds of millions of merchants and consumers. We help merchants and consumers connect, transact, and complete payments, whether they are online or in person. PayPal is more than a connection to third-party payment networks. We provide proprietary payment solutions accepted by merchants that enable the completion of payments on our platform on behalf of our customers. We offer our customers the flexibility to use their accounts to purchase and receive payments for goods and services, as well as the ability to transfer and withdraw funds. We enable consumers to exchange funds more safely with merchants using a variety of funding sources, which may include a bank account, a PayPal or Venmo account balance, PayPal and Venmo branded credit products, a credit card, a debit card, certain cryptocurrencies, or other stored value products such as gift cards, and eligible credit card rewards. Our PayPal, Venmo, and Xoom products also make it safer and simpler for friends and family to transfer funds to each other. We offer merchants an end-to-end payments solution that provides authorization and settlement capabilities, as well as instant access to funds and payouts. We also help merchants connect with their customers, process exchanges and returns, and manage risk. We enable consumers to engage in cross-border shopping and merchants to extend their global reach while reducing the complexity and friction involved in enabling cross-border trade. Our beliefs are the foundation for how we conduct business every day. We live each day guided by our core values of Inclusion, Innovation, Collaboration, and Wellness. Together, our values ensure that we work together as one global team with our customers at the center of everything we do - and they push us to ensure we take care of ourselves, each other, and our communities. Job Summary: During your internship, you would join a scrum team and work with other senior and experienced team members to contribute to the design, implementation and testing of critical services of large-scale systems. You would get the chance to demonstrate your potential of developing high-quality maintainable software and play a major part in the expansion of PayPal into new markets. Job Description: Job Description During your internship, you should expect to gain: Understanding and hands-on experience of various technologies used in large scale complex back-end systems (such as NoSQL/SQL DBs, Rule Management Systems, Enterprise Application Monitoring, REST APIs etc) Software Design and Development. Code craftsmanship Application of agile methodologies in real projects Experience of working as part of a team in a large organization Requirements: This is a 6 months full time internship, starting from 18 May 2026. Experience in team-based software development, be it school-driven or self-initiated Knowledage of one of following core skills:AI/MLMobile Developer (Android/IOS)Front-end Web Development ( HTML, CSS, Javascript, Angular, React) & othersBack-end service development (Java/Python) Familiarity with version control systems (e.g. Git, SVN) Knowledge of RESTful APIs, JSON, Spring, Jenkins, SQL are desirable Willingness to learn new skills and technologies Experience in open-source contributions is a bonus Passion to make a difference! globaluniversityinternsoftwareengineering Additional Responsibilities & Preferred Qualifications: Computer Science or related degree, graduating end 2026 to mid 2027 Subsidiary: PayPal Travel Percent: 0 PayPal does not charge candidates any fees for courses, applications, resume reviews, interviews, background checks, or onboarding. Any such request is a red flag and likely part of a scam. To learn more about how to identify and avoid recruitment fraud please visit https://careers.pypl.com/contact-us. For the majority of employees, PayPal's balanced hybrid work model offers 3 days in the office for effective in-person collaboration and 2 days at your choice of either the PayPal office or your home workspace, ensuring that you equally have the benefits and conveniences of both locations. Our Benefits: At PayPal, we're committed to building an equitable and inclusive global economy. And we can't do this without our most important asset-you. That's why we offer benefits to help you thrive in every stage of life. We champion your financial, physical, and mental health by offering valuable benefits and resources to help you care for the whole you. We have great benefits including a flexible work environment, employee shares options, health and life insurance and more. To learn more about our benefits please visit https://www.paypalbenefits.com. Who We Are: Click Here to learn more about our culture and community. Commitment to Diversity and Inclusion PayPal provides equal employment opportunity (EEO) to all persons regardless of age, color, national origin, citizenship status, physical or mental disability, race, religion, creed, gender, sex, pregnancy, sexual orientation, gender identity and/or expression, genetic information, marital status, status with regard to public assistance, veteran status, or any other characteristic protected by federal, state, or local law. In addition, PayPal will provide reasonable accommodations for qualified individuals with disabilities. If you are unable to submit an application because of incompatible assistive technology or a disability, please contact us at paypalglobaltalentacquisition@paypal.com. Belonging at PayPal: Our employees are central to advancing our mission, and we strive to create an environment where everyone can do their best work with a sense of purpose and belonging. Belonging at PayPal means creating a workplace with a sense of acceptance and security where all employees feel included and valued. We are proud to have a diverse workforce reflective of the merchants, consumers, and communities that we serve, and we continue to take tangible actions to cultivate inclusivity and belonging at PayPal. Any general requests for consideration of your skills, please Join our Talent Community. We know the confidence gap and imposter syndrome can get in the way of meeting spectacular candidates. Please don't hesitate to apply.",https://sg.jobstreet.com/job/89816165?type=standard&ref=search-standalone&origin=jobCard#sol=005e93db9d9ec5789f6689151d3bd1cd343d292d
Software Engineering Intern,Fabrica AI,Singapore,Full time,NOT FOUND,Electrical/Electronic Engineering (Engineering),NOT FOUND,NOT FOUND,NOT FOUND,"Your internship would revolve around real-world industry deployments taking us from a TRL of 7 to 9. You may be remunerated with a combination of salary and share options. The following tracks are available, you would probably be doing a couple of them up to your preference, with examples of what has been done by previous interns (plus most of assembly has been done by interns): Software Engineering Design and implement firmware algorithms for embedded systems Integrate drivers and APIs for effective hardware control Implement standard communication protocols (CAN, I2C, SPI) for seamless interoperability Automate tests for hardware assembly Data collection and analysis Manually collecting and labelling data Automating the process of collecting and labelling data Pre-processing data Data analysis Control systems engineering Iterative adjusting of parameters to optimise performance of motors Conducting experiments to test control systems Hardware and Software integration Develop and execute automated tests for efficient hardware assembly and validation Debugging Diagnosing hardware and software issues within various electronic devices Implementing solutions and features to fix bugs",https://sg.jobstreet.com/job/88791239?type=standard&ref=search-standalone&origin=cardTitle#sol=30ebf59b29f49d31b782ce0d45b6d64f629f783c
Software Testing Intern (Automation),Razer Inc.,Singapore,Full time,Posted 6d ago,Testing & Quality Assurance (Information & Communication Technology),3.1,9 reviews,NOT FOUND,"Joining Razer will place you on a global mission to revolutionize the way the world games. Razer is a place to do great work, offering you the opportunity to make an impact globally while working across a global team located across 5 continents. Razer is also a great place to work, providing you the unique, gamer-centric #LifeAtRazer experience that will put you in an accelerated growth, both personally and professionally. Job Responsibilities :We are looking for a motivated Software Testing Intern (Automation)! As a Software Testing Intern (Automation), you will be responsible for the development of automation scripts while maintaining the quality of our software.Responsibilities: * Analyzing and monitoring the performance of Razer's product and software * Develop automation scripts * Help maintain the quality of Razer's products You will be exposed to: * Automation testing tools like Robot Framework, and Jenkins * Software tools like Jira, and Confluence * Virtual Hardware Software for User Interface testing * MS Office tools like Word, and Excel * Operating Systems like Windows and MAC Qualifications: * Diploma/Undergraduate studies focusing on Information Technology, Computer Science, or any related field * Excellent verbal and written communication skills * Strong problem-solving skills * Highly developed attention to detail * Creative, passionate, and innovative mindset with the ability to work independently * Proactive, motivated, and a team player * Has programming language background (preferably using Python programming) * Automation testing experience is a plus * Able to commit for a minimum of 6 months for optimal learning exposure Pre-Requisites :Razer is proud to be an Equal Opportunity Employer. We believe that diverse teams drive better ideas, better products, and a stronger culture. We are committed to providing an inclusive, respectful, and fair workplace for every employee across all the countries we operate in. We do not discriminate on the basis of race, ethnicity, colour, nationality, ancestry, religion, age, sex, sexual orientation, gender identity or expression, disability, marital status, or any other characteristic protected under local laws. Where needed, we provide reasonable accommodations - including for disability or religious practices - to ensure every team member can perform and contribute at their best. Are you game?",https://sg.jobstreet.com/job/89740589?type=standard&ref=search-standalone&origin=jobCard#sol=dd78a5205684b9a619151e477728c02584295943
Software Developer Intern,DRW Singapore,"Marina South, Central Region",Casual/Vacation,Posted 6d ago,Developers/Programmers (Information & Communication Technology),NOT FOUND,NOT FOUND,NOT FOUND,"Our formula for success is to hire exceptional people, encourage their ideas and reward their results. As a Software Developer Intern in our Singapore office, you will build advanced trading and risk applications leveraging cutting-edge technology. DRW enables our Software Developer Interns to develop computationally intensive software under the guidance of senior technologists with the goal of deployment during your internship. While your days will have you engrossed with complex quantitative trading projects, your evenings will be spent exploring the city with organized social events to truly discover what it’s like to live and work in Singapore. How you will make an impact… Design, develop test, and deploy proprietary software development solutions across the firm. Examples include creating:Decoders to receive raw pack data from various exchanges and translate it into a more accessible form.Normalizers which take decoded data and build a book for each instrument traded on that exchangeApplications to facilitate communication around executed trades to our compliance team Identify innovative solutions to complex problems and advocate for their implementation to your team by communicating your ideas in a clear and concise manner Conduct robust research using a data driven approach to employ statistical analytics on large data sets Collaborate with other software developers, quantitative traders and researchers as well as business analysts in cross-functional team environments What you bring to the team… Are pursuing a bachelor’s in computer science, electrical engineering, computer engineering, physics, mathematics or any related science discipline and have an expected graduation date between December 2026 and June 2027 Have exposure to network programming (TCP/IP), multi‐threaded applications, computational intelligence, algorithms, real‐time programming or GUI programming Have strong understanding of object oriented design, data structures, and algorithms Excellent software development skills in Python or C++ What to expect during the internship… Meaningful projects: You’ll receive a challenging project to complete during your time here. Each project, advised by a software engineer, promotes a comprehensive learning experience and provides you with meaningful work experience. Community: Throughout the summer, we host a variety of educational, social and team-building activities to foster friendship and camaraderie. Mentorship: You’ll build a professional relationship with an experienced mentor in your field. Mentors and mentees meet to discuss goals, challenges and professional development and explore the city together at our mentor outings. DRW is a diversified trading firm with over 3 decades of experience bringing sophisticated technology and exceptional people together to operate in markets around the world. We value autonomy and the ability to quickly pivot to capture opportunities, so we operate using our own capital and trading at our own risk. Headquartered in Chicago with offices throughout the U.S., Canada, Europe, and Asia, we trade a variety of asset classes including Fixed Income, ETFs, Equities, FX, Commodities and Energy across all major global markets. We have also leveraged our expertise and technology to expand into three non-traditional strategies: real estate, venture capital and cryptoassets. We operate with respect, curiosity and open minds. The people who thrive here share our belief that it’s not just what we do that matters–it's how we do it. DRW is a place of high expectations, integrity, innovation and a willingness to challenge consensus.",https://sg.jobstreet.com/job/89722426?type=standard&ref=search-standalone&origin=jobCard#sol=e95650fb0735b16c0cc4f1ce2e4234f769b16d0e
Software Engineering Intern,CPO Pte Ltd,Singapore,Full time,NOT FOUND,Engineering - Software (Information & Communication Technology),NOT FOUND,NOT FOUND,NOT FOUND,"Company CPO Pte Ltd dndts.com Designation Software Engineering Intern Date Listed 11 Dec 2025 Job Type Entry Level / Junior Executive, Experienced / Senior Executive Intern/TS Job Period Flexible Start, For At Least 6 Months Profession Engineering Industry Logistics Location Name 115 Airport Cargo Road, Singapore Address 115 Airport Cargo Rd, Singapore 819466 Map Allowance / Remuneration $2,700 - 3,000 monthly Company Profile At CPO PTE. LTD., we believe that data is the foundation of intelligent business decisions. Our mission is to help organizations unlock the full potential of their data through advanced analytics, transforming raw information into strategic insights that drive growth and innovation.Founded in Singapore, we've grown to become a trusted partner for businesses across various industries, providing tailored data solutions that address specific challenges and opportunities. Our team of data scientists, analysts, and industry experts combines technical expertise with business acumen to deliver results that matter. We're committed to staying at the forefront of analytics technology, constantly evolving our approaches to provide the most effective solutions. Beyond our technical capabilities, we pride ourselves on building lasting relationships with our clients, understanding their unique needs, and growing alongside them as trusted advisors in their data journey. Our Values These core principles guide our work and relationships with clients, partners, and team members. Innovation - We continuously explore new methodologies and technologies to stay ahead of the curve and deliver cutting-edge solutions. Integrity - We maintain the highest ethical standards in all our operations, ensuring data privacy, security, and responsible use of information. Excellence - We strive for excellence in every project, delivering high-quality insights that exceed expectations and create tangible value. Collaboration - We work closely with our clients, fostering partnerships that leverage combined expertise for optimal outcomes. Adaptability - We embrace change and remain flexible, adjusting our approaches to meet evolving business needs and market conditions. Impact - We measure our success by the positive impact our solutions have on our clients' businesses and their stakeholders. Our Expertise We specialize in transforming complex data challenges into clear, actionable insights across various domains. Data Analytics - From descriptive to prescriptive analytics, we help you understand what happened, why it happened, and what actions to take next. Data Warehousing - We design and implement scalable data storage solutions that centralize your information for efficient analysis and reporting. Machine Learning - Our advanced algorithms can identify patterns, make predictions, and automate decision-making processes with high accuracy. Job Description Software Engineering Intern Location: Singapore • Type: Full-time, On-site About the Role We're looking for a Software Engineering Intern to build and maintain scalable web applications while driving our test automation and quality initiatives. You'll work across the entire stack—developing features, designing automated testing frameworks, and ensuring our systems are reliable, well-tested, and production-ready. Responsibilities Design, develop, test, and maintain web applications and backend services Build and maintain automated testing frameworks using Playwright for end-to-end, integration, and regression testing Develop automation scripts for workflow automation and repetitive tasks Collaborate with fellow engineers to deliver robust, scalable solutions Troubleshoot, debug, and optimize applications for reliability and performance Support system availability through monitoring applications and logs Stay current with automation tools and testing best practices, sharing knowledge with the team Report progress and issues to the team Requirements Technical Skills Currently pursuing a degree in Computer Science or related field Experience with Next.js Experience with programming in TypeScript/JavaScript (Node.js) and Python Experience with or willingness to learn Playwright for browser automation and end-to-end testing Experience with or willingness to learn automated testing tools (Jest, Puppeteer, etc) Familiarity with containerization using Docker Experience with or exposure to relational databases (PostgreSQL) and NoSQL databases (MongoDB) Basic knowledge of REST API design and integration Basic knowledge of networking fundamentals (HTTP, DNS, TCP/IP, proxies) Basic knowledge of cybersecurity principles Soft Skills Self-directed problem solver who can navigate unfamiliar codebases and learn new technologies independently Strong attention to detail, especially in testing and debugging Comfortable questioning assumptions and receptive to feedback Application Instructions Please apply for this position by submitting your text CV/Resume VIA WHATSAPP +65 8869 0364 with the following Message Template Hi CPO, My name is XXXX, I would like to apply for the Software Engineering Intern role. Attached is my resume. Alternatively, you may drop us an email at cpopteltd@gmail.com with your details Kindly note that only shortlisted candidates will be notified. Apply for this position",https://sg.jobstreet.com/job/89102794?type=standard&ref=search-standalone&origin=jobCard#sol=709924eae69998a308c1eaca43e762351946d6e4
Software Engineer Intern,Bellman Foundry,"Kent Ridge, Central Region",Full time,NOT FOUND,Engineering - Software (Information & Communication Technology),NOT FOUND,NOT FOUND,NOT FOUND,"Company Bellman Foundry bellmanfoundry.com Designation Software Engineer Intern Date Listed 10 Dec 2025 Job Type Entry Level / Junior Executive Part/TempIntern/TS Job Period Immediate Start, For At Least 3 Months Profession Engineering Industry Computer and IT Location Name Lower Kent Ridge Road, NUS, Singapore Address 21 Lower Kent Ridge Rd, University Hall, Singapore 119077 Map Allowance / Remuneration $200 (project /contract based) Company Profile Bellman Foundry is a pioneering company dedicated to advancing robot accessibility by developing customized multi-storey robot solutions. With a focus on innovation and cutting-edge technology, Bellman Foundry creates tailored robotic systems to address complex needs. The company takes pride in its commitment to engineering excellence and transformative solutions. Located in Singapore, Bellman Foundry fosters an environment of collaboration and growth for passionate professionals. Job Description This is an on-site internship role based in Singapore for a Software Developer Intern. The intern will contribute to software development projects, assist with coding and debugging, and collaborate with the development team to design, test, and implement solutions. Responsibilities also include conducting research to improve existing systems, troubleshooting issues, and documenting technical processes. The intern will gain hands-on experience while working closely with mentors to enhance software functionality and performance. Application Instructions Please apply by sending your CV to hello@bellmanfoundry.com or telegramming us at @Guoyanggg Apply for this position",https://sg.jobstreet.com/job/89052411?type=standard&ref=search-standalone&origin=jobCard#sol=0896085843cb1837a0e53eab1d1b10ddc641c995
